,movie_id,directors,averagerating,numvotes,title,region,year,runtime_minutes,genres,production_budget,domestic_gross,foreign_gross,profit,roi
74,tt1231583,Todd Phillips,6.5,303523,Due Date,GR,2010,95.0,Comedy,65000000.0,100539043.0,111200000.0,146739043.0,2.2575237384615385
75,tt1720297,Stanley Kwan,4.2,20,Showtime,XWW,2010,100.0,Drama,85000000.0,37948765.0,41000000.0,-6051235.0,-0.071191
75,tt1720297,Stanley Kwan,4.2,20,Showtime,XWW,2010,100.0,Fantasy,85000000.0,37948765.0,41000000.0,-6051235.0,-0.071191
75,tt1720297,Stanley Kwan,4.2,20,Showtime,XWW,2010,100.0,Musical,85000000.0,37948765.0,41000000.0,-6051235.0,-0.071191
76,tt1261945,Michael Patrick King,4.4,69199,Sex and the City 2,PL,2010,146.0,Comedy,95000000.0,95347692.0,199333086.0,199680778.0,2.1019029263157893
76,tt1261945,Michael Patrick King,4.4,69199,Sex and the City 2,PL,2010,146.0,Drama,95000000.0,95347692.0,199333086.0,199680778.0,2.1019029263157893
76,tt1261945,Michael Patrick King,4.4,69199,Sex and the City 2,PL,2010,146.0,Romance,95000000.0,95347692.0,199333086.0,199680778.0,2.1019029263157893
77,tt1228987,Matt Reeves,7.1,107012,Let Me In,GB,2010,116.0,Drama,20000000.0,12134935.0,16135464.0,8270399.0,0.41351995
77,tt1228987,Matt Reeves,7.1,107012,Let Me In,GB,2010,116.0,Fantasy,20000000.0,12134935.0,16135464.0,8270399.0,0.41351995
77,tt1228987,Matt Reeves,7.1,107012,Let Me In,GB,2010,116.0,Horror,20000000.0,12134935.0,16135464.0,8270399.0,0.41351995
78,tt1228705,Jon Favreau,7.0,657690,Iron Man 2,BR,2010,124.0,Action,170000000.0,312433331.0,308723058.0,451156389.0,2.653861111764706
78,tt1228705,Jon Favreau,7.0,657690,Iron Man 2,BR,2010,124.0,Adventure,170000000.0,312433331.0,308723058.0,451156389.0,2.653861111764706
78,tt1228705,Jon Favreau,7.0,657690,Iron Man 2,BR,2010,124.0,Sci-Fi,170000000.0,312433331.0,308723058.0,451156389.0,2.653861111764706
79,tt1226753,John Madden,6.9,61046,The Debt,UA,2010,113.0,Drama,20000000.0,31177548.0,15426506.0,26604054.0,1.3302027
79,tt1226753,John Madden,6.9,61046,The Debt,UA,2010,113.0,Thriller,20000000.0,31177548.0,15426506.0,26604054.0,1.3302027
80,tt1231587,Steve Pink,6.4,153962,Hot Tub Time Machine,AR,2010,101.0,Comedy,36000000.0,50269859.0,15697891.0,29967750.0,0.8324375
80,tt1231587,Steve Pink,6.4,153962,Hot Tub Time Machine,AR,2010,101.0,Sci-Fi,36000000.0,50269859.0,15697891.0,29967750.0,0.8324375
81,tt1226273,Martin Campbell,6.6,84753,Edge of Darkness,SI,2010,117.0,Crime,60000000.0,43313890.0,39498566.0,22812456.0,0.3802076
